"holder_id","household_id","ea_id","rural","pw","individual_id","saq01","saq02","saq03","saq04","saq05","saq06","ls_saq07","ls_s1q00","ls_s1q02","ls_s1q03","ls_s1q04","ls_s1q05"
"0102010020700201","01020100207002","01020100207",1,2697.60473632813,"0102010020700201",1,2,1,2,7,2,1,1,65,1,3,"X"
"0102010020700201","01020100207002","01020100207",1,2697.60473632813,"0102010020700202",1,2,1,2,7,2,1,2,48,2,4,
"0102010020700201","01020100207002","01020100207",1,2697.60473632813,"0102010020700203",1,2,1,2,7,2,1,3,17,1,4,
"0102010020700201","01020100207002","01020100207",1,2697.60473632813,"0102010020700204",1,2,1,2,7,2,1,4,10,1,4,
"0102010020700201","01020100207002","01020100207",1,2697.60473632813,"0102010020700205",1,2,1,2,7,2,1,5,7,1,4,
"0102010020701201","01020100207012","01020100207",1,2697.60473632813,"0102010020701201",1,2,1,2,7,12,1,1,76,1,3,"X"
"0102010020701201","01020100207012","01020100207",1,2697.60473632813,"0102010020701202",1,2,1,2,7,12,1,2,60,2,4,
"0102010020701201","01020100207012","01020100207",1,2697.60473632813,"0102010020701203",1,2,1,2,7,12,1,3,14,1,4,
"0102010020701701","01020100207017","01020100207",1,2697.60473632813,"0102010020701701",1,2,1,2,7,17,1,1,40,1,3,"X"
"0102010020701701","01020100207017","01020100207",1,2697.60473632813,"0102010020701702",1,2,1,2,7,17,1,2,30,2,4,
"0102010020701701","01020100207017","01020100207",1,2697.60473632813,"0102010020701703",1,2,1,2,7,17,1,3,8,2,4,
"0102010020701701","01020100207017","01020100207",1,2697.60473632813,"0102010020701704",1,2,1,2,7,17,1,4,6,2,4,
"0102010020701701","01020100207017","01020100207",1,2697.60473632813,"0102010020701705",1,2,1,2,7,17,1,5,4,2,4,
"0102010020701701","01020100207017","01020100207",1,2697.60473632813,"0102010020701706",1,2,1,2,7,17,1,6,1,1,4,
"0102010020702701","01020100207027","01020100207",1,2697.60473632813,"0102010020702701",1,2,1,2,7,27,1,1,47,1,3,"X"
"0102010020702701","01020100207027","01020100207",1,2697.60473632813,"0102010020702702",1,2,1,2,7,27,1,2,39,2,4,
"0102010020702701","01020100207027","01020100207",1,2697.60473632813,"0102010020702703",1,2,1,2,7,27,1,3,18,1,4,
"0102010020702701","01020100207027","01020100207",1,2697.60473632813,"0102010020702704",1,2,1,2,7,27,1,4,15,2,4,
"0102010020702701","01020100207027","01020100207",1,2697.60473632813,"0102010020702705",1,2,1,2,7,27,1,5,12,2,4,
"0102010020702701","01020100207027","01020100207",1,2697.60473632813,"0102010020702706",1,2,1,2,7,27,1,6,9,1,4,
"0102010020702701","01020100207027","01020100207",1,2697.60473632813,"0102010020702707",1,2,1,2,7,27,1,7,6,2,4,
"0102010020703201","01020100207032","01020100207",1,2697.60473632813,"0102010020703201",1,2,1,2,7,32,1,1,30,1,3,"X"
"0102010020703201","01020100207032","01020100207",1,2697.60473632813,"0102010020703202",1,2,1,2,7,32,1,2,22,2,4,
"0102010020703201","01020100207032","01020100207",1,2697.60473632813,"0102010020703203",1,2,1,2,7,32,1,3,3,1,4,
"0102010020703201","01020100207032","01020100207",1,2697.60473632813,"0102010020703204",1,2,1,2,7,32,1,4,0,1,4,
"0102010020704701","01020100207047","01020100207",1,2697.60473632813,"0102010020704701",1,2,1,2,7,47,1,1,50,1,3,"X"
"0102010020704701","01020100207047","01020100207",1,2697.60473632813,"0102010020704702",1,2,1,2,7,47,1,2,30,2,4,
"0102010020704701","01020100207047","01020100207",1,2697.60473632813,"0102010020704703",1,2,1,2,7,47,1,3,13,1,4,
"0102010020704701","01020100207047","01020100207",1,2697.60473632813,"0102010020704704",1,2,1,2,7,47,1,4,15,1,4,
"0102010020704701","01020100207047","01020100207",1,2697.60473632813,"0102010020704705",1,2,1,2,7,47,1,5,7,1,4,
"0102010020704701","01020100207047","01020100207",1,2697.60473632813,"0102010020704706",1,2,1,2,7,47,1,6,4,1,4,
"0102010020704701","01020100207047","01020100207",1,2697.60473632813,"0102010020704707",1,2,1,2,7,47,1,7,1,1,4,
"0102010020706201","01020100207062","01020100207",1,2697.60473632813,"0102010020706201",1,2,1,2,7,62,1,1,76,1,1,"X"
"0102010020706201","01020100207062","01020100207",1,2697.60473632813,"0102010020706202",1,2,1,2,7,62,1,2,29,1,4,
"0102010020707701","01020100207077","01020100207",1,2697.60473632813,"0102010020707701",1,2,1,2,7,77,1,1,50,2,1,"X"
"0102010020707701","01020100207077","01020100207",1,2697.60473632813,"0102010020707702",1,2,1,2,7,77,1,2,20,1,4,
"0102010020707701","01020100207077","01020100207",1,2697.60473632813,"0102010020707703",1,2,1,2,7,77,1,3,18,1,4,
"0102010020709201","01020100207092","01020100207",1,2697.60473632813,"0102010020709201",1,2,1,2,7,92,1,1,65,1,3,"X"
"0102010020709201","01020100207092","01020100207",1,2697.60473632813,"0102010020709202",1,2,1,2,7,92,1,2,60,2,4,
"0102010020709201","01020100207092","01020100207",1,2697.60473632813,"0102010020709203",1,2,1,2,7,92,1,3,35,1,4,
"0102010020709201","01020100207092","01020100207",1,2697.60473632813,"0102010020709204",1,2,1,2,7,92,1,4,23,1,4,
"0102010020709201","01020100207092","01020100207",1,2697.60473632813,"0102010020709205",1,2,1,2,7,92,1,5,19,1,4,
"0102010020709201","01020100207092","01020100207",1,2697.60473632813,"0102010020709206",1,2,1,2,7,92,1,6,10,1,4,
"0102010020710701","01020100207107","01020100207",1,2697.60473632813,"0102010020710701",1,2,1,2,7,107,1,1,77,1,3,"X"
"0102010020710701","01020100207107","01020100207",1,2697.60473632813,"0102010020710702",1,2,1,2,7,107,1,2,57,2,4,
"0102010020710701","01020100207107","01020100207",1,2697.60473632813,"0102010020710703",1,2,1,2,7,107,1,3,18,1,4,
"0102010020710701","01020100207107","01020100207",1,2697.60473632813,"0102010020710704",1,2,1,2,7,107,1,4,16,1,4,
"0102010020710701","01020100207107","01020100207",1,2697.60473632813,"0102010020710705",1,2,1,2,7,107,1,5,11,1,4,
