"household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s13q0a","hh_s13q00","hh_s13q01","hh_s13q02_a","hh_s13q02_b","hh_s13q03","hh_s13q04","hh_s13q05","hh_s13q06","hh_s13q07_a","hh_s13q07_b","hh_s13q07_c"
"01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,"PSNP",1,2,,,,,,,,,
"01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,"Illness of household member",2,2,,,,,,,,,
"01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,"Food-for-work programme or sach-for-work prog",3,2,,,,,,,,,
"01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,"Inputs-for-work programme",4,2,,,,,,,,,
"01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,"Other (Specify)",5,2,,,,,,,,,
"01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,"PSNP",1,2,,,,,,,,,
"01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,"Illness of household member",2,2,,,,,,,,,
"01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,"Food-for-work programme or sach-for-work prog",3,2,,,,,,,,,
"01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,"Inputs-for-work programme",4,2,,,,,,,,,
"01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,"Other (Specify)",5,2,,,,,,,,,
"01010101601034","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,34,"PSNP",1,2,,,,,,,,,
"01010101601034","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,34,"Illness of household member",2,2,,,,,,,,,
"01010101601034","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,34,"Food-for-work programme or sach-for-work prog",3,2,,,,,,,,,
"01010101601034","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,34,"Inputs-for-work programme",4,2,,,,,,,,,
"01010101601034","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,34,"Other (Specify)",5,2,,,,,,,,,
"01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,"PSNP",1,2,,,,,,,,,
"01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,"Illness of household member",2,2,,,,,,,,,
"01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,"Food-for-work programme or sach-for-work prog",3,2,,,,,,,,,
"01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,"Inputs-for-work programme",4,2,,,,,,,,,
"01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,"Other (Specify)",5,2,,,,,,,,,
"01010101601064","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,64,"PSNP",1,2,,,,,,,,,
"01010101601064","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,64,"Illness of household member",2,2,,,,,,,,,
"01010101601064","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,64,"Food-for-work programme or sach-for-work prog",3,2,,,,,,,,,
